LV1 排序,LV1 English,LV1 簡中,LV1 繁中,LV2 排序,LV2 English,LV2 簡中,LV2 繁中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102233,Frozen Beef Bone,凍切牛骨類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102234,Frozen beef Organs,凍牛肉臟類
5,Meat,肉类,肉類,5.3,Beef,牛肉,牛肉,22,Beef,牛肉類,20102235,Material Frozen Beef,原料冻部位牛肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102301,Fresh Whole Chicken,鮮整鷄類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102302,Fr Bnless CHKN meat,鮮鷄肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102303,Fr Bone in CHKN part,鮮帶骨雞肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102304,Fresh Chicken Organs,鮮雞内臟
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102305,Fr Organic Chicken,鮮有機整雞
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102306,Fr Org Boneless CHKN,鮮有機鷄肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102307,Fr Org Bone in CHKN,鮮有機帶骨鷄肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102308,Frozen Whole Chicken,凍整鷄類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102309,Frz Organic Chicken,凍有機鷄類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102310,Frz Bnless CHKN meat,凍鷄肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102311,Frz Bone in CHKN pt,凍帶骨雞肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102312,Frz Chicken Organs,凍雞内臟
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102313,Fresh Whole Duck,鮮整鴨類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102314,Fr Boneless Duck,鮮鴨肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102315,Fr Bone in Duck part,鮮帶骨鴨肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102316,Fr Duck Cuts&Organs,鮮鴨内臟
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102317,Frozen Whole Duck,凍整鴨類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102318,Frz Boneless Duck ,凍鴨肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102319,Frz Bonein Duck part,凍帶骨鴨肉
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102320,Frz Duck Cuts&Organ,凍鴨内臟
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102321,Fresh Other Poultry,鮮其他家禽類
5,Meat,肉类,肉類,5.4,Poultry,家禽,家禽,23,Poultry,家禽類,20102322,Frozen Other Poultry,凍其他家禽類
5,Meat,肉类,肉類,5.5,Lamb,羊肉,羊肉,24,lamb,羊肉類,20102401,Fresh lamb,鮮羊肉類
5,Meat,肉类,肉類,5.5,Lamb,羊肉,羊肉,24,lamb,羊肉類,20102402,frozen lamb,凍羊肉類
5,Meat,肉类,肉類,5.5,Lamb,羊肉,羊肉,24,lamb,羊肉類,20102403,Fresh Slice lamb,鮮切羊肉
5,Meat,肉类,肉類,5.5,Lamb,羊肉,羊肉,24,lamb,羊肉類,20102404,Frozen slice lamb,凍切羊肉
5,Meat,肉类,肉類,5.5,Lamb,羊肉,羊肉,24,lamb,羊肉類,20102405,Goat,草羊類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,26,Hot Pot,火鍋類,20102601,Frz Hotpot Slc Pork,凍火鍋豬肉類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,26,Hot Pot,火鍋類,20102602,Frz Hotpot Slc Beef,凍火鍋牛肉類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,26,Hot Pot,火鍋類,20102603,Frz Hotpot Slc lamb,凍火鍋羊肉類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,21,Pork,豬肉類,20102106,Fresh Slice Pork ,鮮豬肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,21,Pork,豬肉類,20102115,Fr Slice Black Pork,黑豚鮮豬肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,21,Pork,豬肉類,20102121,Frz Slice Black Pork,黑豚凍豬肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,21,Pork,豬肉類,20102128,Frozen slice Pork ,凍豬肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102211,Fresh Slice Beef,鮮牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102212,Fr Slice Beef Choice,鮮牛肉切片類USDA Choice
